PLATE,MJD,IMG_NAME,IMG_NUM,PLATEQUALITY
6187,56244,r1-00150700,150700,good
6187,56244,r1-00150701,150701,good
6187,56244,r2-00150697,150697,good
6187,56244,r2-00150698,150698,good
6187,56244,r2-00150699,150699,good
6187,56244,r2-00150700,150700,good
6187,56244,r2-00150701,150701,good
3925,55338,b1-00115700,115700,good
3925,55338,b1-00115701,115701,good
3925,55338,b1-00115702,115702,good
3925,55338,b1-00115703,115703,good
3925,55338,b1-00115761,115761,good
3925,55338,b1-00115762,115762,good
3925,55338,b1-00115763,115763,good
3925,55338,b1-00115764,115764,good
3925,55338,b1-00115790,115790,good
3925,55338,b1-00115791,115791,good
3925,55338,b2-00115700,115700,good
3925,55338,b2-00115701,115701,good
3925,55338,b2-00115702,115702,good
3925,55338,b2-00115703,115703,good
3925,55338,b2-00115761,115761,good
3925,55338,b2-00115762,115762,good
3925,55338,b2-00115763,115763,good
3925,55338,b2-00115764,115764,good
3925,55338,b2-00115790,115790,good
3925,55338,b2-00115791,115791,good
3925,55338,r1-00115700,115700,good
3925,55338,r1-00115701,115701,good
3925,55338,r1-00115702,115702,good
3925,55338,r1-00115703,115703,good
3925,55338,r1-00115761,115761,good
3925,55338,r1-00115762,115762,good
3925,55338,r1-00115763,115763,good
3925,55338,r1-00115764,115764,good
3925,55338,r1-00115790,115790,good
3925,55338,r1-00115791,115791,good
3925,55338,r2-00115700,115700,good
3925,55338,r2-00115701,115701,good
3925,55338,r2-00115702,115702,good
3925,55338,r2-00115703,115703,good
3925,55338,r2-00115761,115761,good
3925,55338,r2-00115762,115762,good
3925,55338,r2-00115763,115763,good
3925,55338,r2-00115764,115764,good
3925,55338,r2-00115790,115790,good
3925,55338,r2-00115791,115791,good
6052,56092,b1-00144825,144825,good
6052,56092,b1-00144826,144826,good
6052,56092,b1-00144827,144827,good
6052,56092,b1-00144828,144828,good
6052,56092,b1-00144829,144829,good
6052,56092,b1-00144830,144830,good
6052,56092,b2-00144825,144825,good
6052,56092,b2-00144826,144826,good
6052,56092,b2-00144827,144827,good
6052,56092,b2-00144828,144828,good
6052,56092,b2-00144829,144829,good
6052,56092,b2-00144830,144830,good
6052,56092,r1-00144825,144825,good
6052,56092,r1-00144826,144826,good
6052,56092,r1-00144827,144827,good
6052,56092,r1-00144828,144828,good
6052,56092,r1-00144829,144829,good
6052,56092,r1-00144830,144830,good
6052,56092,r2-00144825,144825,good
6052,56092,r2-00144826,144826,good
6052,56092,r2-00144827,144827,good
6052,56092,r2-00144828,144828,good
6052,56092,r2-00144829,144829,good
6052,56092,r2-00144830,144830,good
6932,56397,b1-00160146,160146,good
6932,56397,b1-00160147,160147,good
6932,56397,b1-00160148,160148,good
6932,56397,b1-00160149,160149,good
6932,56397,b1-00160227,160227,good
6932,56397,b1-00160228,160228,good
6932,56397,b1-00160229,160229,good
6932,56397,b1-00160230,160230,good
6932,56397,b1-00160231,160231,good
6932,56397,b1-00160232,160232,good
6932,56397,b2-00160146,160146,good
6932,56397,b2-00160147,160147,good
6932,56397,b2-00160148,160148,good
6932,56397,b2-00160149,160149,good
6932,56397,b2-00160227,160227,good
6932,56397,b2-00160228,160228,good
6932,56397,b2-00160229,160229,good
6932,56397,b2-00160230,160230,good
6932,56397,b2-00160231,160231,good
